epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,782.75,1.54204,3.05611,1.7613,0.54591,0.45214,0.42131,0.36077,1.16945,2.40559,1.54954,0.000237885,0.000237885,0.000237885
2,1548.37,1.53281,2.71708,1.75526,0.53992,0.59907,0.50903,0.43925,1.19542,2.32529,1.55745,0.000460181,0.000460181,0.000460181
3,2314.76,1.53447,2.65918,1.75152,0.50804,0.47923,0.42841,0.36332,1.26253,2.67361,1.60899,0.000666768,0.000666768,0.000666768
4,3079.72,1.52536,2.55728,1.74847,0.55552,0.56472,0.50651,0.43332,1.11075,2.30823,1.51689,0.000643314,0.000643314,0.000643314
5,3844.89,1.48656,2.50518,1.74643,0.57131,0.48282,0.47106,0.40744,1.13538,2.32649,1.54766,0.000619752,0.000619752,0.000619752
6,4611.73,1.43433,2.37721,1.69924,0.57299,0.49603,0.52206,0.44236,1.11501,2.20226,1.45021,0.00059619,0.00059619,0.00059619
7,5379.2,1.41023,2.29863,1.68801,0.62737,0.58075,0.55754,0.49083,1.08099,2.15702,1.46634,0.000572628,0.000572628,0.000572628
8,6144.91,1.35898,2.18787,1.65465,0.6405,0.5883,0.57981,0.50912,1.0369,1.9458,1.46302,0.000549066,0.000549066,0.000549066
9,6911.28,1.36591,2.14959,1.65791,0.68699,0.54612,0.57488,0.50148,1.09517,2.0547,1.52642,0.000525504,0.000525504,0.000525504
10,7677.45,1.32654,2.13215,1.63319,0.71027,0.60927,0.61183,0.53818,1.03001,1.95331,1.46889,0.000501942,0.000501942,0.000501942
11,8443.68,1.31443,2.07381,1.61822,0.72494,0.53713,0.58579,0.51077,1.02307,2.15378,1.44656,0.00047838,0.00047838,0.00047838
12,9209.97,1.31009,2.0534,1.60467,0.67837,0.63176,0.63533,0.56809,0.9537,1.84129,1.37703,0.000454818,0.000454818,0.000454818
13,10022.9,1.27045,2.00087,1.58332,0.7853,0.63732,0.66835,0.59525,0.94871,1.69103,1.38489,0.000431256,0.000431256,0.000431256
14,10799.6,1.23793,1.91545,1.55613,0.71606,0.55114,0.61609,0.5418,0.98187,1.85899,1.41719,0.000407694,0.000407694,0.000407694
15,11571.2,1.19748,1.84563,1.53763,0.76381,0.67049,0.6657,0.59735,0.94591,1.70529,1.37798,0.000384132,0.000384132,0.000384132
16,12338.1,1.20458,1.86818,1.5355,0.81333,0.61625,0.66637,0.6036,0.87384,1.61899,1.35049,0.00036057,0.00036057,0.00036057
17,13107.1,1.17308,1.8266,1.52068,0.76487,0.66887,0.6703,0.60804,0.88457,1.68053,1.32449,0.000337008,0.000337008,0.000337008
18,13874.6,1.19498,1.83321,1.52419,0.78905,0.59745,0.66739,0.59972,0.90101,1.55161,1.35172,0.000313446,0.000313446,0.000313446
19,14642.4,1.15346,1.75992,1.50009,0.82872,0.67338,0.7054,0.64203,0.8795,1.48757,1.3348,0.000289884,0.000289884,0.000289884
20,15426.5,1.1543,1.76246,1.50693,0.73301,0.70349,0.65051,0.59088,0.93531,1.74414,1.34018,0.000266322,0.000266322,0.000266322
21,16187.7,1.25248,1.80399,1.63369,0.84692,0.56355,0.67622,0.60269,0.9506,1.73343,1.37835,0.00024276,0.00024276,0.00024276
22,16947.1,1.21984,1.68967,1.61227,0.78963,0.62262,0.66625,0.59739,0.90129,1.76995,1.35245,0.000219198,0.000219198,0.000219198
23,17703,1.20036,1.65317,1.5893,0.79264,0.62458,0.67006,0.60074,0.89683,1.61181,1.32798,0.000195636,0.000195636,0.000195636
24,18460.8,1.17023,1.57581,1.56799,0.68422,0.53787,0.57823,0.51267,0.91685,1.94845,1.34263,0.000172074,0.000172074,0.000172074
25,19219.1,1.15301,1.51013,1.53764,0.8239,0.57288,0.69049,0.62233,0.90709,1.7473,1.34591,0.000148512,0.000148512,0.000148512
26,19976.5,1.1225,1.45982,1.52196,0.82235,0.52506,0.62554,0.55437,0.94515,1.86366,1.36565,0.00012495,0.00012495,0.00012495
27,20735.3,1.09707,1.41528,1.49716,0.78051,0.55809,0.64815,0.57412,0.90081,1.86469,1.33627,0.000101388,0.000101388,0.000101388
28,21492.7,1.08229,1.37106,1.49672,0.81964,0.5268,0.59695,0.53286,0.99463,1.90297,1.39808,7.7826e-05,7.7826e-05,7.7826e-05
29,22250.2,1.06591,1.33051,1.47367,0.77318,0.54137,0.6257,0.55532,0.92249,1.84933,1.34181,5.4264e-05,5.4264e-05,5.4264e-05
30,23007.3,1.05397,1.31146,1.46198,0.74027,0.52283,0.58699,0.52449,0.93347,2.04443,1.35344,3.0702e-05,3.0702e-05,3.0702e-05
